"ID","Total","pct_under_18","pct_18.24","pct_25.34","pct_35.44","pct_45.54","pct_55.64","pct_over_65","pct_less_than_9th_grade","pct_9th_to_12th_grade_no_diploma","pct_high_school_graduate","pct_college_no_degree","pct_associate_degree","pct_bachelor_degree","pct_graduate_professional_degree","pct_never_married","pct_married","pct_seperated_widowed_divorced","pct_below_poverty","pct_above_poverty","pct_white","pct_black","pct_native_american","pct_asian","pct_pacific_islander","pct_other","pct_two_or_more_races","pct_male","pct_female"
"KY_14",4413457,0.230047103664995,0.097649756188856,0.127543102832995,0.126761176102996,0.138997389121498,0.131039908171757,0.147961563916902,0.0659137410222026,0.0894657252119099,0.338227765680624,0.207060169231334,0.077000021232274,0.130414356252618,0.0919182213690368,0.28363045957206,0.496225754302797,0.220143786125143,0.191221836575595,0.808778163424405,0.874203827067988,0.0793348615382454,0.00238497848738529,0.0123581129259898,0.000600436347289664,0.00976422790569841,0.0213535557274037,0.492620184132303,0.507379815867697
"LA_14",4649676,0.239755200147279,0.101986460992121,0.142040864782836,0.124383290362597,0.129750976197051,0.126338265289883,0.135744942228233,0.0569443863601909,0.107235366688797,0.337678325918878,0.21498270976983,0.0539310115895511,0.151554160371786,0.0776740393009676,0.355321599035714,0.432541420707394,0.212136980256892,0.198410764574723,0.801589235425277,0.62781621773216,0.323072833461944,0.0055937230895228,0.0169205338178402,0.000605633596835564,0.00908407381503571,0.016906984486661,0.488661145421745,0.511338854578254
"ME_14",1330089,0.193950931103107,0.0847386904184607,0.114490834823835,0.117420713952224,0.151771798729258,0.15526028709357,0.182366743879545,0.0309180566745917,0.0518559902106197,0.323415401388566,0.202728351992429,0.0973789017591074,0.193755100807061,0.0999481971676254,0.286711500504604,0.495956916646572,0.217331582848824,0.14125945028203,0.85874054971797,0.947514038534264,0.0124480391913624,0.00625672417409662,0.0108616791808668,2.7065857998976e-05,0.00221564120897173,0.0206768118524399,0.486901252472579,0.513098747527421
"MD_14",5976407,0.226084836591618,0.0941065426099661,0.138454425878291,0.129030870889483,0.146755065376237,0.127998812664532,0.137569445989873,0.0411547368781187,0.0628653103157837,0.256946603252476,0.191176655189397,0.0654408657252992,0.207076968592943,0.175338860045983,0.35400360471703,0.465013440444925,0.180982954838045,0.101076245802114,0.898923754197886,0.574355461400136,0.296937273515676,0.00245247688117627,0.0619094382293575,0.000349039146764938,0.0350479811699571,0.0289483296569327,0.484577606578668,0.515422393421332
"MA_14",6745408,0.206167662504625,0.103829449604827,0.137681071330304,0.124433540565671,0.146035792052905,0.131294207852216,0.150558276089452,0.0495319325938246,0.0535645034076717,0.249450890145586,0.157041658439598,0.0785965648057055,0.23160973463325,0.180204715974365,0.370976616721916,0.458094225368698,0.170929157909386,0.116324601300956,0.883675398699044,0.792749675038189,0.0707929008890196,0.00231253617275634,0.0612385492471323,0.000197022922853592,0.041499046462423,0.0312102692676262,0.484726646631308,0.515273353368692
"MI_14",9909877,0.224385832437678,0.101486224299252,0.120719157260983,0.120075556941827,0.141239997227009,0.137594139664902,0.154499092168349,0.0321718727195842,0.0692557845378919,0.296510678427219,0.235910051979448,0.0926193674898305,0.165460349298895,0.108071895547131,0.331685612611653,0.47628602447178,0.192028362916567,0.16195710713986,0.83804289286014,0.788767206696915,0.138770037206314,0.00562358140267533,0.0283963161197662,0.000228055302805474,0.0122967217453859,0.025918081526138,0.490950291310376,0.509049708689624
"MN_14",5457173,0.235123203900628,0.0918940997472501,0.137612093294459,0.12315552393153,0.13906595960949,0.130615063880145,0.142534055636499,0.029615668318456,0.0445849692164888,0.256870164677013,0.216186536832524,0.110059051082031,0.22711372350196,0.115569886371527,0.319853683688882,0.51651723048489,0.163629085826229,0.114645670590742,0.885354329409259,0.844202483593612,0.0572516209399995,0.0104328743105634,0.0458757675448442,0.000438322186230856,0.0155884741055488,0.0262104573192017,0.497111416478825,0.502888583521175
"MS_14",2994079,0.244667224879504,0.103810220104413,0.128169964787168,0.128913766136431,0.126970263643678,0.12474921336411,0.142719347084696,0.0584171916891798,0.113814457300162,0.300370634281877,0.230691389289028,0.0860379041477206,0.13033715929072,0.0803312640013123,0.336057496055348,0.439709650122692,0.22423285382196,0.215202713203729,0.784797286796271,0.588225961973615,0.378265236154423,0.00409207639477783,0.00801882649055018,0.000152968575645466,0.00843865509226711,0.0128062753187207,0.486903652174842,0.513096347825158
"MO_14",6063589,0.229649799813279,0.0980145587044241,0.131061323582453,0.121124469353051,0.135781135561794,0.130682505031261,0.153686207953738,0.0356817056260512,0.0756383673631581,0.31391418739408,0.225284152859361,0.0745796853241797,0.170887617565586,0.104014283867584,0.305224645837993,0.48839789179242,0.206377462369587,0.154563847735316,0.845436152264683,0.82298965183821,0.117356403938328,0.00435171315206225,0.0177165701699109,0.000620589555129808,0.0121512193521032,0.0248138519942562,0.489893526754534,0.510106473245466
"MT_14",1023579,0.219447644002075,0.100731843853772,0.125320077883583,0.112388980235038,0.128493257481836,0.147384813482887,0.166233383060809,0.0216397212042825,0.0522296471940792,0.306337572752748,0.24464036789538,0.0822174319177984,0.194583602787957,0.0983516562477545,0.286165554653816,0.51001649465779,0.203817950688395,0.154269944847047,0.845730055152953,0.893503090626127,0.00567811570968142,0.0684216850873259,0.00798765898870532,0.000269642108718526,0.00279020964673953,0.0213495978327027,0.501582193460397,0.498417806539603
"NE_14",1881503,0.248671939401638,0.100411745290866,0.135315755542245,0.120902810146994,0.125923264539041,0.124912370588832,0.143862114490383,0.0434791838987639,0.0538188504786066,0.272360355711312,0.231397704419283,0.103550172654387,0.202277127233504,0.0931166056041434,0.297455549360865,0.52547137493031,0.177073075708826,0.124340784882401,0.875659215117599,0.882792108224117,0.0471006424119441,0.00954502862870801,0.0206707084708342,0.000561253423459862,0.0159951910786217,0.0233350677623156,0.497579328866337,0.502420671133663
"NV_14",2839099,0.233359597534288,0.0905111093343346,0.142890050681572,0.135083348625744,0.135378160465697,0.121706921808644,0.141070811549721,0.0612518871138645,0.0875131147250622,0.281732946168937,0.257766990797031,0.080716379158553,0.151840645801881,0.07917803623467,0.337387848866076,0.447133371562039,0.215478779571885,0.152361780768703,0.847638219231297,0.68023834322086,0.0855884208335109,0.0107439014983275,0.078137817666802,0.00653481967342456,0.0946765153310962,0.0440801817759789,0.502534078593244,0.497465921406756
