"ID","Total","pct_under_18","pct_18.24","pct_25.34","pct_35.44","pct_45.54","pct_55.64","pct_over_65","pct_less_than_9th_grade","pct_9th_to_12th_grade_no_diploma","pct_high_school_graduate","pct_college_no_degree","pct_associate_degree","pct_bachelor_degree","pct_graduate_professional_degree","pct_never_married","pct_married","pct_seperated_widowed_divorced","pct_below_poverty","pct_above_poverty","pct_white","pct_black","pct_native_american","pct_asian","pct_pacific_islander","pct_other","pct_two_or_more_races","pct_male","pct_female","hasWoman","Winning_Party"
"MS_18",2986530,0.236301661125118,0.101631324647668,0.126912168972018,0.127471011508339,0.120428724975138,0.12840085316404,0.158854255607678,0.0508773908439004,0.0950779428134465,0.29806709509969,0.222657050103602,0.101338553965214,0.143985964578667,0.0879960025954808,0.341428134706869,0.443079275936836,0.215492589356295,0.196658661441329,0.803341338558671,0.581094112565419,0.380240278852046,0.00443122955403093,0.00875330232745025,0.000459396021469732,0.00997076875169511,0.0150509119278896,0.484451520661102,0.515548479338898,0,"Republican"
"MO_18",6126452,0.224881546448091,0.0923763052415982,0.133704140667388,0.121170132402898,0.122967420621267,0.135948833027664,0.168951621591094,0.0286686843006828,0.0665733158298522,0.303684361646911,0.224077630536769,0.0815245911398309,0.180479187680367,0.114992228865587,0.304219864335405,0.495124177191099,0.200655958473496,0.132297315895363,0.867702684104637,0.821878144152603,0.114964909543076,0.00452219326944861,0.0198184854790342,0.00120542852535203,0.00923160746219835,0.0283792315682878,0.490196446491379,0.509803553508621,0,"Republican"
"NE_18",1929268,0.246148280073064,0.0974162221111841,0.133084154197343,0.126937263252176,0.113419182819598,0.125423217510475,0.157571680036159,0.0376330501247592,0.0479185749028774,0.257730330690755,0.22371213796153,0.108687344051041,0.212939420738448,0.11137914153059,0.304544878751432,0.524083861253348,0.17137125999522,0.110028464141474,0.889971535858526,0.864053102005528,0.0472826999670341,0.00961763736297912,0.0237286888083978,0.000668129052054976,0.0240884107340193,0.0305613320699872,0.498226788605834,0.501773211394166,1,"Republican"
"NV_18",3034392,0.227136111616429,0.0819267912649387,0.145898420507304,0.133512084134153,0.130558938990084,0.124389334008263,0.156578319478828,0.0524880113938263,0.0782276227788764,0.277434519363495,0.258710162388735,0.0842412430946868,0.162014314782116,0.0868841261982644,0.335114835314075,0.453143678731111,0.211741485954814,0.129455163106146,0.870544836893854,0.634386064819575,0.0924023659434905,0.0147199175320789,0.0824339768889451,0.00646323876414122,0.118239831900427,0.0513546041513423,0.501706437401628,0.498293562598372,1,"Democratic"
"NJ_18",8908520,0.21900439130181,0.0862401386537831,0.129212596480672,0.128819489657092,0.138474067521878,0.136798368303602,0.161450948081163,0.0469081598508897,0.0512453623165224,0.263262890146663,0.164495722659459,0.0661232722644756,0.248062808327287,0.159901784434704,0.342751864461483,0.496731224799923,0.160516910738594,0.0952173079229193,0.904782692077081,0.668633959400664,0.135599964977348,0.00237199894034026,0.097458724906045,0.000326541333465042,0.0678377553173816,0.027771055124757,0.488339926272826,0.511660073727174,0,"Democratic"
"NM_18",2095428,0.229183250390851,0.0948302685656582,0.13322003905646,0.122295301962177,0.114500712980833,0.130120910859261,0.17584951618476,0.0595475689402117,0.0863689664739591,0.261226941978043,0.236202956481591,0.080114735037039,0.156539339391068,0.119999491698088,0.349144700926527,0.445319691106503,0.205535607966969,0.194689532250133,0.805310467749867,0.763537568458568,0.0219830984409868,0.0957603888083962,0.0162997726478791,0.0011763706507692,0.0691796616252145,0.0320631393681864,0.496147326465047,0.503852673534953,0,"Democratic"
"NY_18",19542209,0.207995165746104,0.0923734363909423,0.147009890232982,0.124541959406943,0.130862278670748,0.132851767167161,0.164365502385119,0.0605521672474133,0.0679820569159214,0.25941340119978,0.152362400504434,0.087298351131185,0.208213764092958,0.164177858908309,0.379007624074513,0.451648934719415,0.169343441206072,0.136119883825473,0.863880116174527,0.633275439844083,0.157057935466763,0.00431435361273641,0.0852571477461939,0.000482238215751351,0.0864715447470652,0.0331413403674068,0.485682708643634,0.514317291356366,1,"Democratic"
"ND_18",760077,0.22986355329789,0.11128346207029,0.15358180815891,0.119556308110889,0.107248344575615,0.125280728136755,0.153185795649651,0.0339231477358276,0.0429730479912297,0.258587121265069,0.218561481212271,0.149197550216762,0.220983707383896,0.0757739441949443,0.324844545311434,0.517470614472372,0.157684840216194,0.106799371768401,0.893200628231599,0.857396026981477,0.0340702323580374,0.0542971304223125,0.0180889567767476,0.000446007443982649,0.0125895139571386,0.0231121320603044,0.514713640854808,0.485286359145192,0,"Republican"
"OH_18",11689442,0.221604760945818,0.0917042062401268,0.131152881377914,0.119489279300073,0.127311551740451,0.137970999813336,0.170766320582283,0.0271911110391321,0.065794655187127,0.327140843412294,0.204100144075614,0.086051076144554,0.178274294306677,0.111447875834601,0.331731314773199,0.467894518006379,0.200374167220422,0.138939514380182,0.861060485619818,0.810213182117675,0.12372754832951,0.00219616984283767,0.0232485006555488,0.00036169391148012,0.00959293009880198,0.0306599750441467,0.490365151732649,0.509634848267351,0,"Republican"
"PA_18",12807060,0.206731053028564,0.0909510847922942,0.132354576304007,0.116819394927485,0.129580169063001,0.141447842049619,0.182115879835028,0.0310525383654041,0.0592344740921441,0.34620646303621,0.159251072890516,0.0860119046626392,0.19158393116246,0.126659615790627,0.336618796018396,0.480950993979471,0.182430210002133,0.122468129740197,0.877531870259803,0.800814863052098,0.111532701494332,0.00167235883957755,0.0355293876970983,0.000391034320132802,0.0240158162763351,0.0260438383204264,0.489700212226694,0.510299787773306,0,"Republican"
"RI_18",1057315,0.192854541929321,0.106602100603888,0.138415703929293,0.116461981528684,0.132416545684115,0.14050495831422,0.172744168010479,0.0467695880220604,0.0620282302432175,0.284335657726865,0.179886457988781,0.0831664855304815,0.199146747311646,0.144666833176949,0.393032055865683,0.422590309715093,0.184377634419224,0.129079194741797,0.870920805258203,0.806576091325669,0.0669138336257407,0.00410568279084284,0.0341090403522129,0.000835134278810005,0.0565044475865754,0.0309557700401489,0.487934059386276,0.512065940613724,0,"Democratic"
